fullname,email,subject,message

john new,john@x.com,contact,please contact me

lida may,lida@e.com,this is lida,please contact me

john,x@x.com,hi,contact me please

leni,leni@g.com,this is leni,Call me!

samantha,sam@b.com,Guide,I need you advise. Only text please!

William,w@w.com,Employment,I just applied for your employment Ad. I am looking forward to hearing from you.

Shery,Sh@bb.com,Apply job,I'm interested in the job advertisement. I have some questions and concerns about the job. Thanks



